published_year,published_quarter,publisher,points,ranking
2021,Q1,Scholastic,309,1
2021,Q1,Random House Audio,193,2
2021,Q1,Crown,158,3
2021,Q1,Avon,145,4
2021,Q1,HarperCollins,145,4
2021,Q1,"Little, Brown",134,5
2021,Q2,Scholastic,312,1
2021,Q2,"Little, Brown",142,2
2021,Q2,St. Martin's,135,3
2021,Q2,HarperCollins,130,4
2021,Q2,Square Fish,113,5
2021,Q3,Scholastic,263,1
2021,Q3,Houghton Mifflin Harcourt,140,2
2021,Q3,Avery,126,3
2021,Q3,Threshold Editions,113,4
2021,Q3,"Little, Brown",104,5
2021,Q3,Simon & Schuster Audio,104,5
2021,Q4,Scholastic,266,1
2021,Q4,Harper,138,2
2021,Q4,Delacorte,126,3
2021,Q4,Viking,126,3
2021,Q4,Grand Central,122,4
2021,Q4,Avery,104,5
2022,Q1,Scholastic,258,1
2022,Q1,Atria,141,2
2022,Q1,Grand Central,131,3
2022,Q1,Harper,126,4
2022,Q1,Avery,124,5
2022,Q2,Scholastic,299,1
2022,Q2,Putnam,144,2
2022,Q2,Delacorte,139,3
2022,Q2,"Little, Brown",136,4
2022,Q2,Atria,135,5
2022,Q3,Scholastic,276,1
2022,Q3,Simon & Schuster,188,2
2022,Q3,Grand Central,187,3
2022,Q3,Random House,176,4
2022,Q3,"Little, Brown",168,5
2022,Q4,Scholastic,217,1
2022,Q4,Atria,212,2
2022,Q4,Simon & Schuster,189,3
2022,Q4,Simon & Schuster Audio,173,4
2022,Q4,Grand Central,150,5
2023,Q1,Scholastic,311,1
2023,Q1,Atria,245,2
2023,Q1,Random House Audio,164,3
2023,Q1,Random House,156,4
2023,Q1,Simon & Schuster Audio,148,5
2023,Q2,Scholastic,343,1
2023,Q2,Random House Audio,227,2
2023,Q2,Atria,172,3
2023,Q2,Grand Central,155,4
2023,Q2,Doubleday,153,5
2023,Q3,Scholastic,363,1
2023,Q3,Vintage,180,2
2023,Q3,Doubleday,165,3
2023,Q3,Random House Audio,136,4
2023,Q3,Avery,128,5
2023,Q4,Scholastic,368,1
2023,Q4,Red Tower,170,2
2023,Q4,Simon & Schuster,155,3
2023,Q4,Simon & Schuster Audio,152,4
2023,Q4,Doubleday,134,5
